produto_id,descricao_produto,codigo_produto,codigo_barra,ncm_original,cest_original,classificacao_id,ncm_classificado,cest_classificado,confianca_consolidada,justificativa,consultas_agentes,tempo_processamento_ms,sistema
5807,ZYXEM 5MG/ML FR 20ML GTS (ABT),000000000004009405,5413787037797,30049069,1300401,749,30049099,13.001.00,0.98,Produto analisado: ZYXEM 5MG/ML FR 20ML GTS (ABT). NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma,3,78,unified_sqlite_complete
13818,ZYXEM 5MG CX 10CP (ABT),000000000004009383,5413787041794,30049069,1300401,750,30049099,13.001.00,0.98,Produto analisado: ZYXEM 5MG CX 10CP (ABT). NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma,3,22,unified_sqlite_complete
8226,ZYXEM 5MG C 10 COMP,000000000004009383,5413787041794,30049069,1300401,751,30049099,13.001.00,0.98,Produto analisado: ZYXEM 5MG C 10 COMP. NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma,3,19,unified_sqlite_complete
8266,ZYPREXA 10 MG C 30 COMP REV C1,000000000004009649,7896382706707,30049069,1300401,752,30049099,13.001.00,0.98,Produto analisado: ZYPREXA 10 MG C 30 COMP REV C1. NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma,3,19,unified_sqlite_complete
10931,ZYPRED SOL OFT 6ML (AC),000000000004000316,7897316805442,30049099,1300401,753,30049099,13.001.00,0.98,Produto analisado: ZYPRED SOL OFT 6ML (AC). NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma,3,21,unified_sqlite_complete
7400,"ZYMAR XD 0,5% FR 5ML",000000000004001678,7897316805688,30049099,1300401,754,30049099,13.001.00,0.98,"Produto analisado: ZYMAR XD 0,5% FR 5ML. NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma",3,20,unified_sqlite_complete
7148,"ZYMAR SOL OFT 0,3% 5ML",000000000004000315,7897316804902,30049099,1300401,755,30049099,13.001.00,0.98,"Produto analisado: ZYMAR SOL OFT 0,3% 5ML. NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma",3,19,unified_sqlite_complete
14952,"ZYMAR SOL OFT 0,3  5ML",4000315,7897316804902,30049099,1300401,756,30049099,13.001.00,0.98,"Produto analisado: ZYMAR SOL OFT 0,3  5ML. NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma",3,21,unified_sqlite_complete
13469,"ZYMAR SOL OFT 0,3  5ML",000000000004000315,7897316804902,30049099,1300401,757,30049099,13.001.00,0.98,"Produto analisado: ZYMAR SOL OFT 0,3  5ML. NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma",3,21,unified_sqlite_complete
13468,"ZYMAR 0,30% FR 5ML (ALL)",000000000004000315,7897316804902,30049099,1300401,758,30049099,13.001.00,0.98,"Produto analisado: ZYMAR 0,30% FR 5ML (ALL). NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma",3,22,unified_sqlite_complete
